"";"CV";"LIBGEO";"P13_F65P";"P13_POP";"DP90F65P";"DP90T";"pct_P13_F65P_P13_POP";"pct_DP90F65P_DP90T"
"55";"0306";"Gannat";2856,40130532692;19783;2655;18922;14,438666053313;14,0312863333686
"56";"0307";"Huriel";2234,56329958776;16022;2085;16490;13,9468437123191;12,6440266828381
"57";"0308";"Lapalisse";2452,52353814814;18360;2318;18718;13,3579713406762;12,3838016882146
"58";"0309";"Montluçon-1 (Partiel)";1602,28301886792;12194;924;11532;13,1399296282428;8,01248699271592
"59";"0310";"Montluçon-2 (Partiel)";701,436246242869;4308;572;4961;16,2821784178939;11,529933481153
"60";"0311";"Montluçon-3 (Partiel)";1104,36324985114;8679;981;8253;12,724544876727;11,886586695747
"61";"0312";"Montluçon-4 (Partiel)";733,391107242125;6504;417;5439;11,276001033858;7,66685052399338
"62";"0313";"Moulins-1 (Partiel)";775,027135328134;7072;402;6917;10,9590941081467;5,81176810756108
"63";"0314";"Moulins-2 (Partiel)";1208,70053436199;10553;1104;10831;11,4536201493603;10,1929646385375
"64";"0315";"Saint-Pourçain-sur-Sioule";2579,3668044494;19176;2239;19529;13,4510158763527;11,4650007680885
"65";"0316";"Souvigny";1827,10899263116;15260;1736;15392;11,9731913016459;11,2785862785863
"66";"0317";"Vichy-1 (Partiel)";723,245898017489;6176;625;5703;11,7105877269671;10,9591443100123
"67";"0318";"Vichy-2 (Partiel)";674,226422996261;5586;510;5551;12,0699323844658;9,18753377769771
"68";"0319";"Yzeure";1993,23388635204;17385;1538;17345;11,4652510000117;8,86710867685212
"69";"0397";"Montluçon";6173,03872882645;37839;6121;44247;16,3139584260325;13,8337062399711
"70";"0398";"Moulins";2892,43199334853;19474;2793;22809;14,8527882990065;12,2451663816914
"71";"0399";"Vichy";5116,4130862443;25325;5190;27723;20,2030131737188;18,720917649605
"72";"0401";"Barcelonnette";895,158480603802;7655;634;7022;11,6937750568753;9,02876673312447
"73";"0402";"Castellane";1328,34521025039;9496,99999999999;1047;7984;13,9869981073011;13,1137274549098
"74";"0403";"Château-Arnoux-Saint-Auban";1605,41074007411;12554;504;5687;12,7880415809631;8,86231756637946
"75";"0404";"Digne-les-Bains-1 (Partiel)";208,419295933792;1766;145;1382;11,8017721366814;10,4920405209841
"76";"0405";"Digne-les-Bains-2 (Partiel)";623,766087948311;5747;364;4466;10,8537687132123;8,15047021943574
"77";"0406";"Forcalquier";1502,49052615495;10820;1078;8207;13,8862340679755;13,1351285487998
"78";"0407";"Manosque-1 (Partiel)";500,280373831776;3913;176;3064;12,7850849433114;5,74412532637076
"79";"0408";"Manosque-2 (Partiel)";404,865766736957;3238,99999999999;240;2602;12,4997149347625;9,22367409684858
"80";"0409";"Manosque-3 (Partiel)";530;4484;374;3642;11,8198037466548;10,2690829214717
"81";"0410";"Oraison";1603,33968921048;13189;945;8626;12,15664333316;10,9552515650359
"82";"0411";"Reillanne";1380,8583903129;10686;1000;8265;12,9221260557074;12,0992135511192
"83";"0412";"Riez";1235,5858952786;9300;897;7201;13,2858698417054;12,4566032495487
"84";"0413";"Seyne";958,861403555912;8349;721;6544;11,4847455210913;11,0177261613692
"85";"0414";"Sisteron";1592,89240823768;12660;269;3382;12,5820885326831;7,9538734476641
"86";"0415";"Valensole";1192,22262982156;8744,00000000002;783;5770;13,6347510272365;13,5701906412478
"87";"0498";"Digne-les-Bains";2291,08582570993;16512;1744;16058;13,8752775297356;10,8606302154689
"88";"0499";"Manosque";3170,82215662488;22412;1837;19105;14,1478768366272;9,6152839570793
"89";"0501";"L'Argentière-la-Bessée";571,261711839037;5882,00000000001;453;4845;9,71203182317301;9,34984520123839
"90";"0502";"Briançon-1 (Partiel)";669,219791005527;7022;421;6071;9,53033026211231;6,93460714873991
"91";"0503";"Briançon-2 (Partiel)";101,963759789759;1507;64;1245;6,76600927602914;5,14056224899598
"92";"0504";"Chorges";1040,8373514279;10267;599;6461;10,1376970042651;9,27101067946138
"93";"0505";"Embrun";1482,66896506068;10495;240;3079;14,1273841358807;7,79473855147775
"94";"0510";"Guillestre";871,629806944995;8184;584;7249;10,6504130858382;8,05628362532763
"95";"0511";"Laragne-Montéglin";1091,78313029037;7116;799;6238;15,3426521963234;12,8085924975954
"96";"0512";"Saint-Bonnet-en-Champsaur";1382,40612917291;11058;1004,18018018018;8557,66566566567;12,5014119114931;11,7342768391743
"97";"0513";"Serres";1047,19327183103;7076;844;6058;14,799226566295;13,9319907560251
"98";"0514";"Tallard";956,155158931349;9832;525;5903;9,7249304203758;8,89378282229375
"99";"0515";"Veynes";838,149162589023;6813,00000000001;685,495575221239;5039,73451327434;12,3022040597244;13,6018191715394
"100";"0598";"Briançon";1335,89324858929;12190;747;11002;10,9589273879351;6,78967460461734
"101";"0599";"Gap";5062,80057733692;40255;3245;33442;12,5768241891365;9,70336702350338
